lesion_id,image_id,num_images
HAM_0000835,"['ISIC_0025378', 'ISIC_0030394', 'ISIC_0027270', 'ISIC_0031329', 'ISIC_0026530', 'ISIC_0024409']",6
HAM_0001863,"['ISIC_0032797', 'ISIC_0032596', 'ISIC_0032856', 'ISIC_0033193', 'ISIC_0033125', 'ISIC_0032810']",6
HAM_0003789,"['ISIC_0026016', 'ISIC_0029505', 'ISIC_0031277', 'ISIC_0031853', 'ISIC_0029464', 'ISIC_0024915']",6
HAM_0005263,"['ISIC_0034163', 'ISIC_0034277', 'ISIC_0034147', 'ISIC_0033247', 'ISIC_0033918', 'ISIC_0032889']",6
HAM_0000893,"['ISIC_0026409', 'ISIC_0025345', 'ISIC_0032303', 'ISIC_0032103', 'ISIC_0024825']",5
HAM_0002364,"['ISIC_0029838', 'ISIC_0025446', 'ISIC_0024712', 'ISIC_0030348', 'ISIC_0032042']",5
HAM_0007343,"['ISIC_0033946', 'ISIC_0033369', 'ISIC_0032447', 'ISIC_0033655', 'ISIC_0033831']",5
HAM_0007367,"['ISIC_0032705', 'ISIC_0034198', 'ISIC_0033658', 'ISIC_0033046', 'ISIC_0032689']",5
HAM_0007427,"['ISIC_0033660', 'ISIC_0034221', 'ISIC_0033945', 'ISIC_0033491', 'ISIC_0034280']",5
HAM_0000005,"['ISIC_0025577', 'ISIC_0030591', 'ISIC_0024579', 'ISIC_0029638']",4
HAM_0000237,"['ISIC_0027893', 'ISIC_0030935', 'ISIC_0029213', 'ISIC_0032040']",4
HAM_0000509,"['ISIC_0031447', 'ISIC_0024837', 'ISIC_0031667', 'ISIC_0026027']",4
HAM_0000798,"['ISIC_0031064', 'ISIC_0027538', 'ISIC_0026751', 'ISIC_0029332']",4
HAM_0000836,"['ISIC_0030061', 'ISIC_0030960', 'ISIC_0030311', 'ISIC_0025505']",4
HAM_0000889,"['ISIC_0026581', 'ISIC_0025936', 'ISIC_0026401', 'ISIC_0030370']",4
HAM_0000959,"['ISIC_0029288', 'ISIC_0031008', 'ISIC_0030189', 'ISIC_0026532']",4
HAM_0001512,"['ISIC_0025078', 'ISIC_0025516', 'ISIC_0029835', 'ISIC_0028101']",4
HAM_0001721,"['ISIC_0029040', 'ISIC_0029588', 'ISIC_0031181', 'ISIC_0024947']",4
HAM_0001781,"['ISIC_0031987', 'ISIC_0028623', 'ISIC_0025515', 'ISIC_0029823']",4
HAM_0001934,"['ISIC_0028787', 'ISIC_0026008', 'ISIC_0026753', 'ISIC_0031134']",4
HAM_0001943,"['ISIC_0025769', 'ISIC_0032909', 'ISIC_0033134', 'ISIC_0034301']",4
HAM_0002008,"['ISIC_0033379', 'ISIC_0033438', 'ISIC_0032983', 'ISIC_0034024']",4
HAM_0002042,"['ISIC_0028294', 'ISIC_0028662', 'ISIC_0031349', 'ISIC_0026263']",4
HAM_0002154,"['ISIC_0030840', 'ISIC_0028478', 'ISIC_0027379', 'ISIC_0027468']",4
HAM_0002824,"['ISIC_0034118', 'ISIC_0033476', 'ISIC_0033047', 'ISIC_0025987']",4
HAM_0003021,"['ISIC_0031468', 'ISIC_0030926', 'ISIC_0032283', 'ISIC_0030005']",4
HAM_0003033,"['ISIC_0025970', 'ISIC_0025989', 'ISIC_0025165', 'ISIC_0028698']",4
HAM_0003106,"['ISIC_0033243', 'ISIC_0032648', 'ISIC_0032620', 'ISIC_0030420']",4
HAM_0003221,"['ISIC_0029104', 'ISIC_0030520', 'ISIC_0032341', 'ISIC_0029756']",4
