Fold,Epoch,Loss,Accuracy,Precision,Recall,F1 Score
1,1,0.6664001374017625,0.6280,0.6350,0.6280,0.6223
1,2,0.65058652701832,0.6307,0.6500,0.6307,0.6196
1,3,0.6308667837154298,0.6733,0.6735,0.6733,0.6731
1,4,0.6080026011618357,0.6536,0.6713,0.6536,0.6436
1,5,0.5864956700612628,0.7064,0.7080,0.7064,0.7057
1,6,0.5539919937413836,0.7092,0.7127,0.7092,0.7082
1,7,0.5583370335045315,0.7249,0.7255,0.7249,0.7247
1,8,0.5467650230441775,0.7204,0.7204,0.7204,0.7204
1,9,0.5433444402047566,0.7291,0.7367,0.7291,0.7266
1,10,0.5291146827595574,0.7375,0.7377,0.7375,0.7375
1,11,0.5310541098079984,0.7428,0.7434,0.7428,0.7427
1,12,0.5258104869770626,0.7363,0.7400,0.7363,0.7351
1,13,0.5276553782205733,0.7306,0.7323,0.7306,0.7299
1,14,0.513945095359333,0.7480,0.7482,0.7480,0.7480
1,15,0.5065526449018054,0.7281,0.7287,0.7281,0.7280
1,16,0.5092222562858036,0.7570,0.7572,0.7570,0.7569
1,17,0.4908355450819409,0.7498,0.7514,0.7498,0.7492
1,18,0.49455816286896903,0.7371,0.7448,0.7371,0.7352
1,19,0.49890201148532687,0.7622,0.7747,0.7622,0.7592
1,20,0.4813456343752997,0.7607,0.7653,0.7607,0.7595
1,21,0.47697381107580095,0.7694,0.7704,0.7694,0.7693
1,22,0.4831410726857564,0.7662,0.7701,0.7662,0.7652
1,23,0.4725749090550438,0.7779,0.7783,0.7779,0.7779
1,24,0.4644436814955303,0.7739,0.7739,0.7739,0.7739
1,25,0.46948255835071445,0.7565,0.7718,0.7565,0.7533
1,26,0.45806081734952475,0.7644,0.7733,0.7644,0.7623
1,27,0.45431814023426603,0.7916,0.7920,0.7916,0.7915
1,28,0.4702794700860977,0.7789,0.7808,0.7789,0.7786
1,29,0.4542292007614696,0.7799,0.7859,0.7799,0.7785
1,30,0.4663887197772662,0.7951,0.7951,0.7951,0.7951
1,31,0.46204453446562327,0.7809,0.7829,0.7809,0.7804
1,32,0.4551231052194323,0.7824,0.7898,0.7824,0.7812
1,33,0.44862665460696294,0.7941,0.7941,0.7941,0.7941
1,34,0.4546191083296897,0.7871,0.7887,0.7871,0.7867
1,35,0.44753788458922555,0.7923,0.7927,0.7923,0.7923
1,36,0.4469065200241785,0.7866,0.7876,0.7866,0.7865
1,37,0.446880308526849,0.7971,0.8017,0.7971,0.7961
1,38,0.44418554362796603,0.7911,0.7916,0.7911,0.7909
1,39,0.43853689079719876,0.7941,0.7973,0.7941,0.7936
1,40,0.4351104883447526,0.8048,0.8058,0.8048,0.8047
2,1,0.44241963729025824,0.7956,0.7970,0.7956,0.7954
2,2,0.44134697081550717,0.7959,0.7963,0.7959,0.7958
2,3,0.43330305105163935,0.7966,0.8026,0.7966,0.7956
2,4,0.4303163159934301,0.7999,0.8010,0.7999,0.7996
2,5,0.4315852471996868,0.8031,0.8031,0.8031,0.8031
2,6,0.4241672943508814,0.7981,0.8025,0.7981,0.7974
2,7,0.42988284523524933,0.7969,0.8073,0.7969,0.7951
2,8,0.4362954552921038,0.7969,0.7984,0.7969,0.7966
2,9,0.4343254660803174,0.8046,0.8056,0.8046,0.8044
2,10,0.4236465418149555,0.8053,0.8105,0.8053,0.8045
2,11,0.4239991328545979,0.8113,0.8114,0.8113,0.8113
2,12,0.42013184418753974,0.8068,0.8068,0.8068,0.8068
2,13,0.42340234182183706,0.8053,0.8104,0.8053,0.8045
2,14,0.4280094021842593,0.8130,0.8130,0.8130,0.8130
2,15,0.41760376202208654,0.7772,0.7889,0.7772,0.7749
2,16,0.41599967295215245,0.8048,0.8052,0.8048,0.8048
2,17,0.41744470986581983,0.7981,0.8025,0.7981,0.7974
2,18,0.4312351473740169,0.8001,0.8002,0.8001,0.8001
2,19,0.40964816191366743,0.8163,0.8187,0.8163,0.8159
2,20,0.4053031528989474,0.8205,0.8233,0.8205,0.8201
2,21,0.40136803473745075,0.8086,0.8126,0.8086,0.8080
2,22,0.41178147080871796,0.8076,0.8179,0.8076,0.8060
2,23,0.40713531039063894,0.8188,0.8194,0.8188,0.8187
2,24,0.39463254241716295,0.8252,0.8254,0.8252,0.8252
